Institute,From,CATI,ARS,Cord,Cordless,Response Rate,Date,Month,Day,President-Good,President-Bad,Theminjoo,PPP,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,2.40 ,6/12/23,6,12,38.50 ,59.90 ,49.00 ,40.60 ,
국민리서치그룹,뉴시스,0,1,0.00 ,100.00 ,2.00 ,6/14/23,6,14,41.10 ,57.10 ,37.30 ,35.90 ,
여론조사공정,데일리안,0,1,0.00 ,100.00 ,2.50 ,6/15/23,6,15,42.40 ,55.90 ,37.30 ,41.50 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,3.00 ,6/16/23,6,16,35.00 ,62.50 ,48.00 ,35.70 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,9.20 ,6/16/23,6,16,35.00 ,57.00 ,34.00 ,34.00 ,
알앤써치,CBS/노컷뉴스,0,1,0.00 ,100.00 ,2.50 ,6/18/23,6,18,40.50 ,57.00 ,45.90 ,37.60 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,16.30 ,6/19/23,6,19,36.50 ,60.80 ,39.10 ,34.10 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,2.10 ,6/19/23,6,19,39.10 ,59.70 ,51.10 ,36.90 ,
조원씨앤아이,스트레이트뉴스,0,1,0.00 ,100.00 ,2.50 ,6/21/23,6,21,41.60 ,56.80 ,41.20 ,38.70 ,
한국리서치,엠브레인퍼블릭/케이스탯리서치/코리아리서치인터내셔널/한국리서치,1,0,0.00 ,100.00 ,15.70 ,6/22/23,6,22,36.00 ,54.00 ,25.00 ,35.00 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,3.00 ,6/23/23,6,23,31.70 ,66.00 ,49.80 ,31.50 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,10.50 ,6/23/23,6,23,36.00 ,57.00 ,31.00 ,35.00 ,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,2.80 ,6/26/23,6,26,38.96 ,57.49 ,43.80 ,38.00 ,
알앤써치,CBS/노컷뉴스,0,1,0.00 ,100.00 ,1.60 ,6/25/23,6,25,40.30 ,57.40 ,43.10 ,37.60 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,15.60 ,6/26/23,6,26,37.00 ,60.20 ,39.10 ,33.40 ,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,2.40 ,6/26/23,6,26,39.00 ,59.50 ,51.00 ,38.40 ,
에이스리서치,뉴시스,0,1,0.00 ,100.00 ,1.40 ,6/28/23,6,28,42.80 ,55.60 ,39.60 ,38.80 ,
여론조사공정,데일리안,0,1,0.00 ,100.00 ,2.60 ,6/29/23,6,29,42.60 ,54.90 ,36.60 ,40.40 ,
한국갤럽,서울경제,1,0,0.00 ,100.00 ,14.10 ,6/28/23,6,28,38.30 ,56.70 ,32.80 ,38.00 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,3.30 ,6/30/23,6,30,38.10 ,59.30 ,44.60 ,36.80 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,10.90 ,6/30/23,6,30,36.00 ,56.00 ,34.00 ,33.00 ,
Average,Average,0.36 ,0.64 ,0.74 ,99.26 ,6.64 ,6/30/23,6,30,38.11 ,58.33 ,40.89 ,36.24 ,
