Institute,From,CATI,ARS,Cord,Cordless,Response Rate,Date,Month,Day,President-Good,President-Bad,Theminjoo,PPP,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,3.30 ,4/17/23,4,17,34.80 ,64.00 ,48.50 ,37.30 ,
알앤써치,뉴스핌,0,1,0.00 ,100.00 ,2.40 ,4/19/23,4,19,33.20 ,64.70 ,45.70 ,35.60 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,3.50 ,4/21/23,4,21,34.40 ,64.00 ,48.10 ,34.90 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,8.60 ,4/21/23,4,21,31.00 ,60.00 ,32.00 ,32.00 ,
리얼미터,미디어트리뷴,0,1,3.00 ,97.00 ,3.40 ,4/24/23,4,24,32.62 ,64.68 ,45.70 ,34.50 ,
여론조사꽃,여론조사꽃,1,0,0.00 ,100.00 ,17.40 ,4/24/23,4,24,31.10 ,64.80 ,42.20 ,31.20 ,
여론조사꽃,여론조사꽃,0,1,0.00 ,100.00 ,3.10 ,4/24/23,4,24,35.10 ,64.00 ,51.70 ,35.10 ,
알앤써치,뉴스핌,0,1,0.00 ,100.00 ,2.20 ,4/26/23,4,26,36.70 ,60.20 ,40.70 ,37.30 ,
조원씨앤아이,스트레이트뉴스,0,1,0.00 ,100.00 ,3.00 ,4/26/23,4,26,34.10 ,64.90 ,46.20 ,33.80 ,
에이스리서치,뉴시스,0,1,0.00 ,100.00 ,1.40 ,4/26/23,4,26,36.70 ,60.90 ,34.90 ,34.50 ,
여론조사공정,데일리안,0,1,0.00 ,100.00 ,3.10 ,4/27/23,4,27,36.30 ,61.90 ,36.00 ,38.60 ,
한국리서치,엠브레인퍼블릭/케이스탯리서치/코리아리서치인터내셔널/한국리서치,1,0,0.00 ,100.00 ,17.30 ,4/27/23,4,27,32.00 ,57.00 ,30.00 ,31.00 ,
미디어토마토,뉴스토마토,0,1,0.00 ,100.00 ,2.90 ,4/28/23,4,28,32.30 ,64.70 ,46.30 ,34.10 ,
한국갤럽,한국갤럽,1,0,5.00 ,95.00 ,10.20 ,4/28/23,4,28,30.00 ,63.00 ,37.00 ,32.00 ,
Average,,0,1,1.19 ,98.81 ,6.27 ,4/30/23,4,30,34.07 ,62.33 ,42.76 ,34.78 ,
